,CO2_DO_avg,CO2_DO_stop,CO2_DI_avg,CO2_DI_stop,CO2_UI_avg,CO2_UI_stop,CO2_UO_avg,CO2_UO_stop
2015-02-05 17:00:00,761.67543036,2015-02-05 19:00:00,732.204739548,2015-02-05 19:00:00,513.872025939,2015-02-05 19:00:00,629.163394454,2015-02-05 19:00:00
2015-02-06 08:00:00,798.365168791,2015-02-06 10:00:00,765.334875922,2015-02-06 10:00:00,536.236091234,2015-02-06 10:00:00,650.538752236,2015-02-06 10:00:00
2015-02-06 11:00:00,728.760496311,2015-02-06 13:00:00,701.201072865,2015-02-06 13:00:00,500.819991055,2015-02-06 13:00:00,609.283948133,2015-02-06 13:00:00
2015-02-06 14:00:00,738.318261064,2015-02-06 16:00:00,706.195484015,2015-02-06 16:00:00,509.207891795,2015-02-06 16:00:00,616.564288909,2015-02-06 16:00:00
2015-02-06 17:00:00,776.937513973,2015-02-06 19:00:00,747.922892913,2015-02-06 19:00:00,529.340921288,2015-02-06 19:00:00,642.49072211,2015-02-06 19:00:00
2015-02-07 08:00:00,746.980997094,2015-02-07 10:00:00,719.170742065,2015-02-07 10:00:00,508.838953488,2015-02-07 10:00:00,619.665146434,2015-02-07 10:00:00
2015-02-07 11:00:00,732.099575229,2015-02-07 13:00:00,705.272389895,2015-02-07 13:00:00,498.721042039,2015-02-07 13:00:00,606.84112254,2015-02-07 13:00:00
2015-02-07 14:00:00,750.295485025,2015-02-07 16:00:00,723.432640286,2015-02-07 16:00:00,511.831924883,2015-02-07 16:00:00,621.860353309,2015-02-07 16:00:00
2015-02-07 17:00:00,798.679320367,2015-02-07 19:00:00,769.633959311,2015-02-07 19:00:00,545.257133274,2015-02-07 19:00:00,662.543067979,2015-02-07 19:00:00
2015-02-08 08:00:00,621.505878409,2015-02-08 10:00:00,600.075139727,2015-02-08 10:00:00,444.995080501,2015-02-08 10:00:00,540.412857782,2015-02-08 10:00:00
2015-02-08 11:00:00,658.264654594,2015-02-08 13:00:00,634.050950145,2015-02-08 13:00:00,461.386739714,2015-02-08 13:00:00,560.395773703,2015-02-08 13:00:00
2015-02-08 14:00:00,661.86105522,2015-02-08 16:00:00,639.868350469,2015-02-08 16:00:00,462.393986139,2015-02-08 16:00:00,562.22752068,2015-02-08 16:00:00
2015-02-08 17:00:00,700.955175497,2015-02-08 19:00:00,677.662843729,2015-02-08 19:00:00,481.80822898,2015-02-08 19:00:00,584.489333631,2015-02-08 19:00:00
2015-02-09 08:00:00,,,,,492.299821149,2015-02-09 10:00:00,637.464244186,2015-02-09 10:00:00
2015-02-09 11:00:00,,,,,462.516346154,2015-02-09 13:00:00,602.278001341,2015-02-09 13:00:00
2015-02-09 14:00:00,,,,,472.150044723,2015-02-09 16:00:00,609.711784436,2015-02-09 16:00:00
2015-02-09 17:00:00,,,,,484.101207513,2015-02-09 19:00:00,625.1163926,2015-02-09 18:45:00
2015-02-10 08:00:00,812.076632379,2015-02-10 10:00:00,803.744802146,2015-02-10 10:00:00,541.52122093,2015-02-10 10:00:00,651.162195395,2015-02-10 10:00:00
2015-02-10 11:00:00,718.956740443,2015-02-10 13:00:00,711.306507156,2015-02-10 13:00:00,495.945796064,2015-02-10 13:00:00,597.3730322,2015-02-10 13:00:00
2015-02-10 14:00:00,721.443738819,2015-02-10 16:00:00,712.056149374,2015-02-10 16:00:00,501.518868768,2015-02-10 16:00:00,600.321757603,2015-02-10 16:00:00
2015-02-10 17:00:00,764.477497207,2015-02-10 19:00:00,756.737139665,2015-02-10 19:00:00,522.153600179,2015-02-10 19:00:00,625.482647585,2015-02-10 19:00:00
2015-02-11 08:00:00,820.27395484,2015-02-11 10:00:00,818.093114241,2015-02-11 10:00:00,531.779414394,2015-02-11 10:00:00,,
2015-02-11 11:00:00,733.670668455,2015-02-11 13:00:00,729.504404203,2015-02-11 13:00:00,480.974386982,2015-02-11 13:00:00,,
2015-02-11 14:00:00,763.10024592,2015-02-11 16:00:00,758.098502459,2015-02-11 16:00:00,501.67297116,2015-02-11 16:00:00,,
2015-02-11 17:00:00,800.017795663,2015-02-11 19:00:00,795.462486027,2015-02-11 19:00:00,524.096177062,2015-02-11 19:00:00,,
2015-02-12 08:00:00,820.248714509,2015-02-12 10:00:00,820.349161636,2015-02-12 10:00:00,517.060576923,2015-02-12 10:00:00,676.354472272,2015-02-12 10:00:00
2015-02-12 11:00:00,720.523027051,2015-02-12 13:00:00,718.01652135,2015-02-12 13:00:00,469.655836315,2015-02-12 13:00:00,605.24588551,2015-02-12 13:00:00
2015-02-12 14:00:00,709.473731277,2015-02-12 16:00:00,705.208227141,2015-02-12 16:00:00,463.798077353,2015-02-12 16:00:00,594.004203936,2015-02-12 16:00:00
2015-02-12 17:00:00,749.355086072,2015-02-12 19:00:00,747.021909233,2015-02-12 19:00:00,483.275424866,2015-02-12 19:00:00,618.752783367,2015-02-12 19:00:00
2015-02-13 08:00:00,792.325128549,2015-02-13 10:00:00,790.463402638,2015-02-13 10:00:00,501.574351521,2015-02-13 10:00:00,644.483277442,2015-02-13 10:00:00
2015-02-13 11:00:00,706.446210597,2015-02-13 13:00:00,702.02917505,2015-02-13 13:00:00,454.528398927,2015-02-13 13:00:00,588.739333631,2015-02-13 13:00:00
2015-02-13 14:00:00,719.267277604,2015-02-13 16:00:00,714.156360385,2015-02-13 16:00:00,462.999530411,2015-02-13 16:00:00,596.395819361,2015-02-13 16:00:00
2015-02-13 17:00:00,754.584708249,2015-02-13 19:00:00,751.095126313,2015-02-13 19:00:00,485.612857782,2015-02-13 19:00:00,622.227817531,2015-02-13 19:00:00
2015-02-14 08:00:00,715.885647217,2015-02-14 10:00:00,713.859691482,2015-02-14 10:00:00,461.630769231,2015-02-14 10:00:00,596.658966905,2015-02-14 10:00:00
2015-02-14 11:00:00,715.026089873,2015-02-14 13:00:00,711.316744914,2015-02-14 13:00:00,458.544946333,2015-02-14 13:00:00,595.133631485,2015-02-14 13:00:00
2015-02-14 14:00:00,728.154147105,2015-02-14 16:00:00,724.536575006,2015-02-14 16:00:00,464.495930233,2015-02-14 16:00:00,603.608251342,2015-02-14 16:00:00
2015-02-14 17:00:00,743.579454505,2015-02-14 19:00:00,740.239257769,2015-02-14 19:00:00,476.015943649,2015-02-14 19:00:00,613.169253131,2015-02-14 19:00:00
2015-02-15 08:00:00,623.694680376,2015-02-15 10:00:00,618.079481448,2015-02-15 10:00:00,418.988685152,2015-02-15 10:00:00,542.661829159,2015-02-15 10:00:00
2015-02-15 11:00:00,675.35841717,2015-02-15 13:00:00,671.222669349,2015-02-15 13:00:00,442.257567628,2015-02-15 13:00:00,574.57543036,2015-02-15 13:00:00
2015-02-15 14:00:00,696.109389671,2015-02-15 16:00:00,693.093650794,2015-02-15 16:00:00,453.687186941,2015-02-15 16:00:00,592.156507156,2015-02-15 16:00:00
2015-02-15 17:00:00,744.880643719,2015-02-15 19:00:00,741.672993517,2015-02-15 19:00:00,475.094610912,2015-02-15 19:00:00,622.439825581,2015-02-15 19:00:00
2015-02-16 08:00:00,884.843281914,2015-02-16 10:00:00,844.491191594,2015-02-16 10:00:00,665.657938283,2015-02-16 10:00:00,701.671981216,2015-02-16 10:00:00
2015-02-16 11:00:00,775.486340264,2015-02-16 13:00:00,739.980952381,2015-02-16 13:00:00,589.964020572,2015-02-16 13:00:00,621.797003578,2015-02-16 13:00:00
2015-02-16 14:00:00,781.667516208,2015-02-16 16:00:00,746.388710038,2015-02-16 16:00:00,600.87641404,2015-02-16 16:00:00,634.602571556,2015-02-16 16:00:00
2015-02-16 17:00:00,845.402235636,2015-02-16 19:00:00,808.429488039,2015-02-16 19:00:00,633.156283542,2015-02-16 19:00:00,669.557746479,2015-02-16 19:00:00
2015-02-17 08:00:00,847.652649229,2015-02-17 10:00:00,809.772121619,2015-02-17 10:00:00,634.797898032,2015-02-17 10:00:00,675.664341605,2015-02-17 10:00:00
2015-02-17 11:00:00,729.156025039,2015-02-17 13:00:00,696.492711827,2015-02-17 13:00:00,554.21744186,2015-02-17 13:00:00,590.151744186,2015-02-17 13:00:00
2015-02-17 14:00:00,720.555543138,2015-02-17 16:00:00,688.051509054,2015-02-17 16:00:00,549.097764364,2015-02-17 16:00:00,580.585889982,2015-02-17 16:00:00
2015-02-17 17:00:00,766.853610552,2015-02-17 19:00:00,733.76541471,2015-02-17 19:00:00,575.363349732,2015-02-17 19:00:00,609.282181981,2015-02-17 19:00:00
2015-02-18 08:00:00,715.611021686,2015-02-18 10:00:00,683.90359857,2015-02-18 10:00:00,541.812813059,2015-02-18 10:00:00,577.351050984,2015-02-18 10:00:00
2015-02-18 11:00:00,666.159915046,2015-02-18 13:00:00,636.612497205,2015-02-18 13:00:00,515.128957961,2015-02-18 13:00:00,550.058944544,2015-02-18 13:00:00
2015-02-18 14:00:00,663.032565937,2015-02-18 16:00:00,633.379096803,2015-02-18 16:00:00,512.546958855,2015-02-18 16:00:00,545.694097921,2015-02-18 16:00:00
2015-02-18 17:00:00,721.314397496,2015-02-18 19:00:00,689.624211938,2015-02-18 19:00:00,543.862544723,2015-02-18 19:00:00,579.717777281,2015-02-18 19:00:00
2015-02-19 08:00:00,583.452917505,2015-02-19 10:00:00,557.106103286,2015-02-19 10:00:00,467.341882826,2015-02-19 10:00:00,500.767240608,2015-02-19 10:00:00
2015-02-19 11:00:00,683.98397049,2015-02-19 13:00:00,654.199217527,2015-02-19 13:00:00,517.911222893,2015-02-19 13:00:00,552.718202147,2015-02-19 13:00:00
2015-02-19 14:00:00,716.449944109,2015-02-19 16:00:00,684.916633132,2015-02-19 16:00:00,536.93372093,2015-02-19 16:00:00,572.827146691,2015-02-19 16:00:00
2015-02-19 17:00:00,726.621395037,2015-02-19 19:00:00,694.63623966,2015-02-19 19:00:00,546.172249553,2015-02-19 19:00:00,581.963685032,2015-02-19 19:00:00
2015-02-20 08:00:00,578.547720161,2015-02-20 10:00:00,552.281600715,2015-02-20 10:00:00,461.120080501,2015-02-20 10:00:00,498.893895349,2015-02-20 10:00:00
2015-02-20 11:00:00,694.808987257,2015-02-20 13:00:00,663.174675905,2015-02-20 13:00:00,520.903286385,2015-02-20 13:00:00,560.752269171,2015-02-20 13:00:00
2015-02-20 14:00:00,708.237804605,2015-02-20 16:00:00,676.189470154,2015-02-20 16:00:00,532.686762075,2015-02-20 16:00:00,573.40377907,2015-02-20 16:00:00
2015-02-20 17:00:00,735.996311201,2015-02-20 19:00:00,703.306460988,2015-02-20 19:00:00,545.040966011,2015-02-20 19:00:00,588.271243292,2015-02-20 19:00:00
2015-02-21 08:00:00,610.904426559,2015-02-21 10:00:00,582.644501565,2015-02-21 10:00:00,473.786225403,2015-02-21 10:00:00,519.105210197,2015-02-21 10:00:00
2015-02-21 11:00:00,697.498904538,2015-02-21 13:00:00,665.208741337,2015-02-21 13:00:00,521.364296892,2015-02-21 13:00:00,569.203734347,2015-02-21 13:00:00
2015-02-21 14:00:00,729.112989045,2015-02-21 16:00:00,696.494500335,2015-02-21 16:00:00,539.264065295,2015-02-21 16:00:00,588.553957961,2015-02-21 16:00:00
2015-02-21 17:00:00,775.925525257,2015-02-21 19:00:00,742.065042468,2015-02-21 19:00:00,563.627124329,2015-02-21 19:00:00,613.363894478,2015-02-21 19:00:00
2015-02-22 08:00:00,662.516186005,2015-02-22 10:00:00,632.105141963,2015-02-22 10:00:00,513.852124329,2015-02-22 10:00:00,568.420724346,2015-02-22 10:00:00
2015-02-22 11:00:00,688.019181757,2015-02-22 13:00:00,656.348535658,2015-02-22 13:00:00,513.89440966,2015-02-22 13:00:00,567.284190519,2015-02-22 13:00:00
2015-02-22 14:00:00,693.514956405,2015-02-22 16:00:00,662.678453286,2015-02-22 16:00:00,512.888036673,2015-02-22 16:00:00,563.517061717,2015-02-22 16:00:00
2015-02-22 17:00:00,719.086519115,2015-02-22 19:00:00,687.491482227,2015-02-22 19:00:00,525.104426559,2015-02-22 19:00:00,577.552996422,2015-02-22 19:00:00
2015-02-23 08:00:00,735.883501006,2015-02-23 10:00:00,702.59268947,2015-02-23 10:00:00,536.265720036,2015-02-23 10:00:00,595.520863148,2015-02-23 10:00:00
2015-02-23 11:00:00,682.599709432,2015-02-23 13:00:00,651.740956852,2015-02-23 13:00:00,503.96759839,2015-02-23 13:00:00,561.796824687,2015-02-23 13:00:00
2015-02-23 14:00:00,695.861770624,2015-02-23 16:00:00,664.572769953,2015-02-23 16:00:00,512.513372093,2015-02-23 16:00:00,569.928370221,2015-02-23 16:00:00
2015-02-23 17:00:00,721.404650123,2015-02-23 19:00:00,689.765302929,2015-02-23 19:00:00,524.125150905,2015-02-23 19:00:00,583.431238819,2015-02-23 19:00:00
2015-02-24 08:00:00,747.669774201,2015-02-24 10:00:00,713.4644981,2015-02-24 10:00:00,537.231341953,2015-02-24 10:00:00,601.622182469,2015-02-24 10:00:00
2015-02-24 11:00:00,683.509322602,2015-02-24 13:00:00,651.534674715,2015-02-24 13:00:00,500.608452594,2015-02-24 13:00:00,560.450626118,2015-02-24 13:00:00
2015-02-24 14:00:00,706.792532976,2015-02-24 16:00:00,674.208160072,2015-02-24 16:00:00,516.681238819,2015-02-24 16:00:00,578.317173524,2015-02-24 16:00:00
2015-02-24 17:00:00,739.129152694,2015-02-24 19:00:00,705.587480438,2015-02-24 19:00:00,534.566487816,2015-02-24 19:00:00,596.26726297,2015-02-24 19:00:00
2015-02-25 08:00:00,753.417124972,2015-02-25 10:00:00,719.416364856,2015-02-25 10:00:00,531.250279455,2015-02-25 10:00:00,596.032938283,2015-02-25 10:00:00
2015-02-25 11:00:00,692.316543707,2015-02-25 13:00:00,660.739794321,2015-02-25 13:00:00,502.414557245,2015-02-25 13:00:00,566.089268947,2015-02-25 13:00:00
2015-02-25 14:00:00,691.563894478,2015-02-25 16:00:00,659.372904091,2015-02-25 16:00:00,502.481059928,2015-02-25 16:00:00,565.855008945,2015-02-25 16:00:00
2015-02-25 17:00:00,750.823966018,2015-02-25 19:00:00,716.751531411,2015-02-25 19:00:00,536.630746869,2015-02-25 19:00:00,602.285666369,2015-02-25 19:00:00
2015-02-26 08:00:00,788.937335122,2015-02-26 10:00:00,752.834942991,2015-02-26 10:00:00,551.929868097,2015-02-26 10:00:00,621.416368515,2015-02-26 10:00:00
2015-02-26 11:00:00,699.673574782,2015-02-26 13:00:00,667.617147328,2015-02-26 13:00:00,500.569454383,2015-02-26 13:00:00,566.20921288,2015-02-26 13:00:00
2015-02-26 14:00:00,712.736812696,2015-02-26 16:00:00,679.764431031,2015-02-26 16:00:00,518.451833631,2015-02-26 16:00:00,573.331596601,2015-02-26 16:00:00
2015-02-26 17:00:00,756.878739101,2015-02-26 19:00:00,722.913033758,2015-02-26 19:00:00,547.184906082,2015-02-26 19:00:00,603.455577912,2015-02-26 19:00:00
2015-02-27 08:00:00,784.119745649,2015-02-27 10:00:00,748.319554069,2015-02-27 10:00:00,545.547495528,2015-02-27 10:00:00,616.256606304,2015-02-27 10:00:00
2015-02-27 11:00:00,686.563983903,2015-02-27 13:00:00,657.207958864,2015-02-27 13:00:00,490.224619857,2015-02-27 13:00:00,556.410845259,2015-02-27 13:00:00
2015-02-27 14:00:00,699.029085625,2015-02-27 16:00:00,667.56376034,2015-02-27 16:00:00,497.806930472,2015-02-27 16:00:00,565.276207513,2015-02-27 16:00:00
2015-02-27 17:00:00,725.777285938,2015-02-27 19:00:00,693.881131232,2015-02-27 19:00:00,509.53700805,2015-02-27 19:00:00,576.996355098,2015-02-27 19:00:00
2015-02-28 08:00:00,718.245775592,2015-02-28 10:00:00,685.790274983,2015-02-28 10:00:00,508.533474955,2015-02-28 10:00:00,578.279986583,2015-02-28 10:00:00
